path	block_type	mask_type	reference_block	link_status	runtime_token
IEEE39bus/SM_measurement/Recording/Monostable/Edge Detector/pos. edge	Constant		powerlib_extras/Control  Blocks/Monostable/Edge Detector/pos. edge	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Edge Detector/Out	Outport		powerlib_extras/Control  Blocks/Monostable/Edge Detector/Out	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Logical Operator1	Logic		powerlib_extras/Control  Blocks/Monostable/Logical Operator1	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Logical Operator2	Logic		powerlib_extras/Control  Blocks/Monostable/Logical Operator2	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Memory	Memory		powerlib_extras/Control  Blocks/Monostable/Memory	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Relational Operator	RelationalOperator		powerlib_extras/Control  Blocks/Monostable/Relational Operator	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Sample & Hold	SubSystem	Sample & Hold 	powerlib_extras/Control  Blocks/Sample & Hold	resolved	
IEEE39bus/SM_measurement/Recording/Monostable/Sample & Hold/In	Inport		powerlib_extras/Control  Blocks/Sample & Hold/In	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Sample & Hold/S	Inport		powerlib_extras/Control  Blocks/Sample & Hold/S	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Sample & Hold/IC=ic	Memory		powerlib_extras/Control  Blocks/Sample & Hold/IC=ic	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Sample & Hold/Switch	Switch		powerlib_extras/Control  Blocks/Sample & Hold/Switch	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Sample & Hold/   	Outport		powerlib_extras/Control  Blocks/Sample & Hold/   	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Sum	Sum		powerlib_extras/Control  Blocks/Monostable/Sum	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/T_monostable	Constant		powerlib_extras/Control  Blocks/Monostable/T_monostable	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Out	Outport		powerlib_extras/Control  Blocks/Monostable/Out	implicit	
IEEE39bus/SM_measurement/Recording/Mux1	Mux			none	
IEEE39bus/SM_measurement/Recording/Mux2	Mux			none	
IEEE39bus/SM_measurement/Recording/Mux4	Mux			none	
IEEE39bus/SM_measurement/Recording/OpTrigger1	Reference			unresolved	optrigger
IEEE39bus/SM_measurement/Recording/OpTrigger2	Reference			unresolved	optrigger
IEEE39bus/SM_measurement/Recording/OpTrigger4	Reference			unresolved	optrigger
IEEE39bus/SM_measurement/Recording/Switch	Switch			none	
IEEE39bus/SM_measurement/Recording/Timer	SubSystem	Timer	powerlib_extras/Control  Blocks/Timer	resolved	
IEEE39bus/SM_measurement/Recording/Timer/Clock	Clock		powerlib_extras/Control  Blocks/Timer/Clock	implicit	
IEEE39bus/SM_measurement/Recording/Timer/Derivative	Derivative		powerlib_extras/Control  Blocks/Timer/Derivative	implicit	
IEEE39bus/SM_measurement/Recording/Timer/Hit  Crossing	HitCross		powerlib_extras/Control  Blocks/Timer/Hit  Crossing	implicit	
IEEE39bus/SM_measurement/Recording/Timer/Look-Up Table	Lookup		powerlib_extras/Control  Blocks/Timer/Look-Up Table	implicit	
IEEE39bus/SM_measurement/Recording/Timer/Out	Outport		powerlib_extras/Control  Blocks/Timer/Out	implicit	
IEEE39bus/SM_measurement/Measurements	Outport			none	
IEEE39bus/SM_measurement/ctrl_N sys1	Outport			none	
IEEE39bus/SM_measurement/ctrl_N sys2	Outport			none	
IEEE39bus/SM_measurement/ctrl_W sys1	Outport			none	
